sample_N,scenario,structure,estimator,outer_opt,dataset_id,parameter,param_class,true_value,estimate,rel_err,rel_err_pct,sq_rel,abs_rel
80,1,linCmt,focei,bobyqa,1,TVCL,structural_intercept,0.6,0.5914524564625405,-0.014245905895765762,-1.4245905895765762,2.029458347910137e-4,0.014245905895765762
80,1,linCmt,focei,bobyqa,1,TVVc,structural_intercept,20,19.005607494624897,-0.049719625268755153,-4.971962526875515,0.002472041136865436,0.049719625268755153
80,1,linCmt,focei,bobyqa,1,TVQ,structural_other,1.8,1.829277691739663,0.01626538429981271,1.626538429981271,2.645627264205938e-4,0.01626538429981271
80,1,linCmt,focei,bobyqa,1,TVVp,structural_other,80,82.16020313046926,0.0270025391308657,2.70025391308657,7.291371195139333e-4,0.0270025391308657
80,1,linCmt,focei,bobyqa,1,TVKA,structural_other,0.7,0.7,0,0,0,0
80,1,linCmt,focei,bobyqa,1,CLBW,covariate_beta,0,NA,NA,NA,NA,NA
80,1,linCmt,focei,bobyqa,1,CLcrCL,covariate_beta,0,NA,NA,NA,NA,NA
80,1,linCmt,focei,bobyqa,1,VcBW,covariate_beta,0,NA,NA,NA,NA,NA
80,1,linCmt,focei,bobyqa,1,VcSEX,covariate_beta,0,NA,NA,NA,NA,NA
80,1,linCmt,focei,bobyqa,1,var_CL,structural_other,0.1,0.09596390782644665,-0.04036092173553357,-4.0360921735533575,0.0016290040033418664,0.04036092173553357
80,1,linCmt,focei,bobyqa,1,var_Vc,structural_other,0.1,0.11024583375710623,0.10245833757106221,10.24583375710622,0.010497710937825738,0.10245833757106221
80,1,linCmt,focei,bobyqa,1,cov_VcCL,structural_other,0.02,0.032230450882526344,0.6115225441263172,61.15225441263172,0.3739598219747236,0.6115225441263172
80,1,linCmt,focei,bobyqa,1,ResErr,structural_other,0.1,0.10393153951835508,0.03931539518355079,3.9315395183550788,0.0015457002984387686,0.03931539518355079
80,1,linCmt,focei,bobyqa,2,TVCL,structural_intercept,0.6,0.5913523890589034,-0.014412684901827604,-1.4412684901827604,2.0772548607936938e-4,0.014412684901827604
80,1,linCmt,focei,bobyqa,2,TVVc,structural_intercept,20,23.736074936215605,0.18680374681078024,18.680374681078025,0.034895639822546086,0.18680374681078024
80,1,linCmt,focei,bobyqa,2,TVQ,structural_other,1.8,1.8112959793683272,0.006275544093515087,0.6275544093515087,3.93824536696521e-5,0.006275544093515087
80,1,linCmt,focei,bobyqa,2,TVVp,structural_other,80,78.71616353387041,-0.01604795582661982,-1.604795582661982,2.5753688621314106e-4,0.01604795582661982
80,1,linCmt,focei,bobyqa,2,TVKA,structural_other,0.7,0.7,0,0,0,0
80,1,linCmt,focei,bobyqa,2,CLBW,covariate_beta,0,NA,NA,NA,NA,NA
80,1,linCmt,focei,bobyqa,2,CLcrCL,covariate_beta,0,NA,NA,NA,NA,NA
80,1,linCmt,focei,bobyqa,2,VcBW,covariate_beta,0,NA,NA,NA,NA,NA
80,1,linCmt,focei,bobyqa,2,VcSEX,covariate_beta,0,NA,NA,NA,NA,NA
80,1,linCmt,focei,bobyqa,2,var_CL,structural_other,0.1,0.08183618757316102,-0.18163812426838982,-18.163812426838984,0.03299240818773903,0.18163812426838982
80,1,linCmt,focei,bobyqa,2,var_Vc,structural_other,0.1,0.08171959897570046,-0.1828040102429955,-18.28040102429955,0.03341730616092121,0.1828040102429955
80,1,linCmt,focei,bobyqa,2,cov_VcCL,structural_other,0.02,0.024624704130466128,0.2312352065233064,23.12352065233064,0.053469720735876164,0.2312352065233064
80,1,linCmt,focei,bobyqa,2,ResErr,structural_other,0.1,0.098851320302752,-0.01148679697248009,-1.1486796972480091,1.3194650468697776e-4,0.01148679697248009
80,1,linCmt,focei,bobyqa,3,TVCL,structural_intercept,0.6,0.5948349366180619,-0.008608438969896864,-0.8608438969896863,7.410522149843897e-5,0.008608438969896864
80,1,linCmt,focei,bobyqa,3,TVVc,structural_intercept,20,22.376438909972325,0.11882194549861627,11.882194549861627,0.014118654732076135,0.11882194549861627
80,1,linCmt,focei,bobyqa,3,TVQ,structural_other,1.8,1.8290518260551296,0.016139903363960872,1.6139903363960872,2.6049648059799546e-4,0.016139903363960872
80,1,linCmt,focei,bobyqa,3,TVVp,structural_other,80,79.37676550442113,-0.007790431194735881,-0.7790431194735881,6.069081819991392e-5,0.007790431194735881
80,1,linCmt,focei,bobyqa,3,TVKA,structural_other,0.7,0.7,0,0,0,0
80,1,linCmt,focei,bobyqa,3,CLBW,covariate_beta,0,NA,NA,NA,NA,NA
80,1,linCmt,focei,bobyqa,3,CLcrCL,covariate_beta,0,NA,NA,NA,NA,NA
80,1,linCmt,focei,bobyqa,3,VcBW,covariate_beta,0,NA,NA,NA,NA,NA
80,1,linCmt,focei,bobyqa,3,VcSEX,covariate_beta,0,NA,NA,NA,NA,NA
80,1,linCmt,focei,bobyqa,3,var_CL,structural_other,0.1,0.09433457794489199,-0.05665422055108019,-5.665422055108019,0.0032097007062504364,0.05665422055108019
80,1,linCmt,focei,bobyqa,3,var_Vc,structural_other,0.1,0.08858380929789456,-0.1141619070210545,-11.41619070210545,0.013032941014683892,0.1141619070210545
80,1,linCmt,focei,bobyqa,3,cov_VcCL,structural_other,0.02,0.03498378477259743,0.7491892386298713,74.91892386298713,0.5612845152788063,0.7491892386298713
